Well;Depth;GR;NPHI;RHOB;PEF;DT;RD_LOG;VSH;SW;KLOGH;PHIF;PHID;N-D;Id_discreto;Lithofacies
F-14;3018.75;55.9640;0.1940;2.4300;3.6830;87.3760;1.1576;0.4370;0.0400;0.2900;0.1258;0.1258;0.0690;6;F-LOWER SHOREFACE
F-14;3019.00;57.1190;0.1950;2.4450;3.4920;84.5390;1.0899;0.4380;0.0480;0.2940;0.1170;0.1170;0.0780;6;F-LOWER SHOREFACE
F-14;3019.25;57.4180;0.1990;2.4310;3.6060;83.5050;1.0333;0.4580;0.0340;0.0600;0.1250;0.1250;0.0740;6;F-LOWER SHOREFACE
F-14;3019.50;57.7170;0.2020;2.4170;3.7210;82.4720;0.9682;0.4730;0.0330;0.0420;0.1330;0.1330;0.0690;6;F-LOWER SHOREFACE
F-14;3019.75;63.7690;0.2000;2.4170;3.5100;82.1490;0.9243;0.4700;0.0390;0.0730;0.1334;0.1334;0.0670;6;F-LOWER SHOREFACE
F-14;3020.00;69.8220;0.1980;2.4160;3.3000;81.8250;0.8755;0.5110;0.0450;0.0320;0.1338;0.1338;0.0640;6;F-LOWER SHOREFACE
F-14;3020.25;68.8030;0.2050;2.4450;3.5040;79.7160;0.8629;0.5750;0.0720;0.0050;0.1171;0.1171;0.0880;6;F-LOWER SHOREFACE
F-14;3020.50;67.7840;0.2120;2.4740;3.7070;77.6070;0.8499;0.5580;0.0740;0.0060;0.1004;0.1004;0.1110;6;F-LOWER SHOREFACE
F-14;3020.75;63.7890;0.2070;2.4270;3.9990;81.3970;0.8973;0.5410;0.0710;0.0080;0.1275;0.1275;0.0790;6;F-LOWER SHOREFACE
F-14;3021.00;59.7940;0.2020;2.3800;4.2900;85.1860;0.9400;0.5170;0.0670;0.0170;0.1545;0.1545;0.0470;6;F-LOWER SHOREFACE
F-14;3021.25;50.6960;0.2040;2.2660;3.6030;84.8890;1.0196;0.4430;0.0740;0.7420;0.2193;0.2193;-0.0160;6;F-LOWER SHOREFACE
F-14;3021.50;41.5990;0.2050;2.1530;2.9160;84.5910;1.0867;0.3520;0.0390;6.4230;0.2841;0.2841;-0.0790;6;F-LOWER SHOREFACE
F-14;3021.75;38.1670;0.2190;2.1400;2.8120;85.2590;1.1074;0.3100;0.0200;24.2020;0.2913;0.2913;-0.0730;6;F-LOWER SHOREFACE
F-14;3022.00;34.7360;0.2320;2.1280;2.7070;85.9270;1.1272;0.2740;0.0050;53.2400;0.2985;0.2985;-0.0670;6;F-LOWER SHOREFACE
F-14;3022.25;33.5130;0.2150;2.1460;2.7370;85.0150;1.1359;0.2520;0.0160;94.7160;0.2879;0.2879;-0.0730;6;F-LOWER SHOREFACE
F-14;3022.50;32.2900;0.1990;2.1650;2.7680;84.1030;1.1445;0.2330;0.0270;106.1280;0.2774;0.2774;-0.0790;6;F-LOWER SHOREFACE
F-14;3022.75;35.9400;0.2000;2.1850;2.7300;84.7520;1.1328;0.2440;0.0280;71.4140;0.2658;0.2658;-0.0660;6;F-LOWER SHOREFACE
F-14;3023.00;39.5890;0.2000;2.2050;2.6920;85.4010;1.1207;0.2800;0.0300;29.4880;0.2541;0.2541;-0.0540;6;F-LOWER SHOREFACE
F-14;3023.25;44.6190;0.1980;2.2860;3.1310;82.3340;1.0890;0.3110;0.0340;13.3690;0.2082;0.2082;-0.0100;6;F-LOWER SHOREFACE
F-14;3023.50;49.6490;0.1950;2.3660;3.5700;79.2680;1.0548;0.3480;0.0270;3.3810;0.1623;0.1623;0.0330;6;F-LOWER SHOREFACE
F-14;3023.75;56.1380;0.1880;2.4290;4.0860;78.2380;1.0105;0.4310;0.0470;0.5360;0.1264;0.1264;0.0610;6;F-LOWER SHOREFACE
F-14;3024.00;62.6280;0.1810;2.4920;4.6020;77.2080;0.9612;0.5000;0.0590;0.0210;0.0905;0.0905;0.0900;6;F-LOWER SHOREFACE
F-14;3024.25;58.0460;0.1910;2.3970;4.0930;73.1870;0.9680;0.4940;0.0490;0.0200;0.1447;0.1447;0.0460;6;F-LOWER SHOREFACE
F-14;3024.50;53.4630;0.2010;2.3020;3.5840;69.1660;0.9747;0.4620;0.0690;0.1700;0.1989;0.1989;0.0020;6;F-LOWER SHOREFACE
F-14;3024.75;45.5860;0.2120;2.2290;3.3610;68.6520;1.0061;0.3970;0.0580;2.1840;0.2403;0.2403;-0.0280;6;F-LOWER SHOREFACE
F-14;3025.00;37.7090;0.2230;2.1570;3.1370;68.1370;1.0354;0.3200;0.0360;13.2940;0.2818;0.2818;-0.0580;6;F-LOWER SHOREFACE
F-14;3025.25;34.5170;0.2200;2.1590;3.0800;77.3380;1.0639;0.2710;0.0260;58.3670;0.2807;0.2807;-0.0600;6;F-LOWER SHOREFACE
F-14;3025.50;31.3250;0.2170;2.1610;3.0220;86.5380;1.0905;0.2270;0.0260;125.5650;0.2795;0.2795;-0.0630;6;F-LOWER SHOREFACE
F-14;3025.75;31.2060;0.2190;2.1560;3.0530;88.0790;1.0724;0.2300;0.0240;113.6360;0.2821;0.2821;-0.0630;6;F-LOWER SHOREFACE
F-14;3026.00;31.0870;0.2220;2.1520;3.0840;89.6190;1.0535;0.2360;0.0270;100.5920;0.2847;0.2847;-0.0630;6;F-LOWER SHOREFACE
F-14;3026.25;30.3870;0.2260;2.2010;3.0060;90.7100;1.0715;0.2230;0.0340;139.3100;0.2566;0.2566;-0.0310;6;F-LOWER SHOREFACE
F-14;3026.50;29.6870;0.2290;2.2500;2.9280;91.8000;1.0889;0.2190;0.0310;140.9120;0.2286;0.2286;0.0010;6;F-LOWER SHOREFACE
F-14;3026.75;36.2910;0.2260;2.3040;3.3260;89.3920;1.0756;0.2300;0.0240;61.6490;0.1977;0.1977;0.0280;6;F-LOWER SHOREFACE
F-14;3027.00;42.8950;0.2220;2.3580;3.7240;86.9840;1.0620;0.2770;0.0090;7.9380;0.1667;0.1667;0.0550;6;F-LOWER SHOREFACE
F-14;3027.25;51.3330;0.2200;2.4140;3.7360;84.0670;1.0032;0.3650;0.0350;2.2980;0.1349;0.1349;0.0850;6;F-LOWER SHOREFACE
F-14;3027.50;59.7710;0.2190;2.4700;3.7490;81.1490;0.9351;0.4280;0.0330;0.1410;0.1031;0.1031;0.1160;6;F-LOWER SHOREFACE
F-14;3027.75;63.0650;0.2220;2.4700;3.7800;82.6880;0.8833;0.4970;0.0440;0.0230;0.1031;0.1031;0.1190;6;F-LOWER SHOREFACE
F-14;3028.00;66.3600;0.2250;2.4690;3.8120;84.2280;0.8245;0.5410;0.0670;0.0080;0.1032;0.1032;0.1220;6;F-LOWER SHOREFACE
F-14;3028.25;68.6010;0.2370;2.4930;4.1280;83.7640;0.7594;0.5300;0.0800;0.0120;0.0899;0.0899;0.1470;6;F-LOWER SHOREFACE
F-14;3028.50;70.8430;0.2490;2.5160;4.4430;83.3000;0.6829;0.5420;0.0680;0.0060;0.0766;0.0766;0.1720;6;F-LOWER SHOREFACE
F-14;3028.75;75.6470;0.2540;2.5280;4.4600;82.6680;0.7080;0.5820;0.0690;0.0020;0.0695;0.0695;0.1850;6;F-LOWER SHOREFACE
F-14;3029.00;80.4510;0.2590;2.5410;4.4770;82.0360;0.7318;0.6250;0.0670;0.0010;0.0625;0.0625;0.1970;6;F-LOWER SHOREFACE
F-14;3029.25;85.8150;0.2750;2.5460;4.4160;79.3450;0.7042;0.7080;0.0570;0.0010;0.0595;0.0595;0.2160;6;F-LOWER SHOREFACE
F-14;3029.50;91.1800;0.2920;2.5510;4.3550;76.6550;0.6749;0.7470;0.0630;0.0010;0.0566;0.0566;0.2350;6;F-LOWER SHOREFACE
F-14;3029.75;83.9450;0.2680;2.5400;4.8590;77.9040;0.7604;0.7480;0.0500;0.0010;0.0627;0.0627;0.2050;6;F-LOWER SHOREFACE
F-14;3030.00;76.7090;0.2440;2.5290;5.3640;79.1540;0.8319;0.6890;0.0430;0.0010;0.0689;0.0689;0.1750;6;F-LOWER SHOREFACE
F-14;3030.25;61.7620;0.2370;2.3660;4.1080;82.1990;1.8597;0.5800;0.0740;0.0110;0.1621;0.1621;0.0750;6;F-LOWER SHOREFACE
F-14;3030.50;46.8150;0.2310;2.2030;2.8530;85.2440;2.1399;0.4580;0.0530;0.4510;0.2553;0.2553;-0.0240;1;F-TIDAL BAR
F-14;3030.75;34.2560;0.2170;2.1880;2.7500;85.4860;2.2279;0.2940;0.0250;67.4230;0.2642;0.2642;-0.0470;1;F-TIDAL BAR
F-14;3031.00;21.6960;0.2030;2.1720;2.6470;85.7280;2.3010;0.1790;0.0050;314.7590;0.2731;0.2731;-0.0700;1;F-TIDAL BAR
F-14;3031.25;19.7990;0.2000;2.1990;2.8180;88.8260;2.3010;0.1390;0.0040;528.9450;0.2577;0.2577;-0.0580;1;F-TIDAL BAR
F-14;3031.50;17.9020;0.1960;2.2260;2.9900;91.9240;2.3010;0.1240;0.0040;564.6070;0.2422;0.2422;-0.0460;1;F-TIDAL BAR
F-14;3031.75;17.9580;0.1910;2.2480;3.3010;87.5590;2.3010;0.1090;0.0040;710.7150;0.2298;0.2298;-0.0390;1;F-TIDAL BAR
