Well;Depth;GR;NPHI;RHOB;PEF;DT;RD_LOG;VSH;SW;KLOGH;PHIF;PHID;N-D;Cluster_all;PCA_1;PCA_2;Id_discreto;Lithofacies
F-4;3256.50;27.7941;0.1733;2.2996;3.1630;83.1432;1.5360;0.146;0.165;283.655;0.206;0.200;-0.027;3;-0.7492;0.4721;1;F-TIDAL BAR
F-4;3256.75;28.9858;0.1851;2.2772;3.2087;84.8010;1.5475;0.161;0.172;167.976;0.201;0.213;-0.028;3;-0.3027;0.3588;1;F-TIDAL BAR
F-4;3257.00;30.1774;0.1970;2.2548;3.0410;86.4587;1.5587;0.172;0.173;158.231;0.212;0.226;-0.029;3;0.1452;0.5176;1;F-TIDAL BAR
F-4;3257.25;31.0814;0.1983;2.2235;3.1317;85.0432;1.5593;0.174;0.159;188.127;0.225;0.244;-0.045;3;0.2249;0.4560;1;F-TIDAL BAR
F-4;3257.50;31.9854;0.1996;2.1921;3.0799;83.6276;1.5599;0.186;0.157;155.202;0.231;0.262;-0.062;3;0.3052;0.4808;1;F-TIDAL BAR
F-4;3257.75;28.8642;0.1969;2.1859;3.3128;83.7965;1.5433;0.177;0.140;273.185;0.248;0.265;-0.068;3;0.3106;0.3340;1;F-TIDAL BAR
F-4;3258.00;25.7431;0.1942;2.1796;3.3263;83.9654;1.5260;0.148;0.130;581.646;0.250;0.269;-0.075;3;0.3166;0.5249;1;F-TIDAL BAR
F-4;3258.25;26.2632;0.2025;2.1760;3.3131;86.1524;1.5326;0.154;0.129;505.889;0.250;0.271;-0.068;3;0.6477;0.4895;1;F-TIDAL BAR
F-4;3258.50;26.7834;0.2108;2.1723;3.3322;88.3394;1.5390;0.160;0.132;467.123;0.252;0.273;-0.062;3;0.9794;0.4506;1;F-TIDAL BAR
F-4;3258.75;26.2133;0.2094;2.1578;2.9310;90.7838;1.5291;0.136;0.127;1116.903;0.268;0.281;-0.072;1;1.2525;1.2751;1;F-TIDAL BAR
F-4;3259.00;25.6432;0.2079;2.1432;2.9363;93.2281;1.5190;0.139;0.128;1025.769;0.267;0.290;-0.082;1;1.5247;1.1949;1;F-TIDAL BAR
F-4;3259.25;26.4018;0.2166;2.1343;3.1164;93.8021;1.5028;0.144;0.129;932.339;0.269;0.295;-0.078;3;1.7538;0.9458;1;F-TIDAL BAR
F-4;3259.50;27.1604;0.2252;2.1255;3.0406;94.3761;1.4860;0.150;0.126;858.279;0.274;0.300;-0.075;3;1.9808;0.9457;1;F-TIDAL BAR
F-4;3259.75;26.4548;0.2150;2.1349;3.2401;94.5404;1.4892;0.155;0.123;830.889;0.279;0.294;-0.079;3;1.7907;0.7456;1;F-TIDAL BAR
F-4;3260.00;25.7491;0.2049;2.1442;3.1841;94.7047;1.4924;0.147;0.127;818.576;0.267;0.289;-0.084;3;1.6027;0.7916;1;F-TIDAL BAR
F-4;3260.25;25.7085;0.2056;2.1681;3.0681;93.1583;1.5117;0.143;0.130;932.452;0.269;0.275;-0.070;3;1.3413;0.9993;1;F-TIDAL BAR
F-4;3260.50;25.6679;0.2062;2.1919;3.2574;91.6119;1.5302;0.145;0.136;730.395;0.257;0.262;-0.056;3;1.0790;0.6990;1;F-TIDAL BAR
F-4;3260.75;25.3007;0.2048;2.2237;3.4267;88.7279;1.6210;0.146;0.155;373.078;0.221;0.244;-0.039;3;0.6254;0.3789;1;F-TIDAL BAR
F-4;3261.00;24.9335;0.2033;2.2556;3.4991;85.8439;1.6961;0.146;0.175;257.206;0.202;0.225;-0.022;3;0.1698;0.3049;1;F-TIDAL BAR
F-4;3261.25;25.6573;0.2088;2.2068;3.1187;87.6537;1.6082;0.137;0.170;626.088;0.236;0.253;-0.044;3;0.6895;0.8307;1;F-TIDAL BAR
F-4;3261.50;26.3810;0.2142;2.1579;3.0044;89.4634;1.4979;0.137;0.143;919.584;0.258;0.281;-0.067;3;1.2084;1.0349;1;F-TIDAL BAR
F-4;3261.75;27.4658;0.2160;2.1531;3.0013;91.7396;1.4783;0.155;0.139;657.317;0.266;0.284;-0.068;3;1.4605;0.8303;1;F-TIDAL BAR
F-4;3262.00;28.5507;0.2178;2.1483;3.0266;94.0157;1.4578;0.163;0.136;559.329;0.269;0.287;-0.069;3;1.7126;0.7162;1;F-TIDAL BAR
F-4;3262.25;26.5064;0.2211;2.1413;3.0151;93.7083;1.4476;0.165;0.136;527.258;0.268;0.291;-0.070;3;1.7709;0.6936;1;F-TIDAL BAR
F-4;3262.50;24.4622;0.2243;2.1344;3.1159;93.4009;1.4372;0.153;0.136;756.460;0.271;0.295;-0.070;3;1.8273;0.7543;1;F-TIDAL BAR
F-4;3262.75;26.2606;0.2190;2.1473;2.9363;93.5567;1.4270;0.138;0.136;1206.918;0.274;0.287;-0.068;1;1.6921;1.2318;1;F-TIDAL BAR
F-4;3263.00;28.0590;0.2137;2.1603;3.0841;93.7125;1.4166;0.149;0.139;789.671;0.268;0.280;-0.066;3;1.5564;0.7866;1;F-TIDAL BAR
F-4;3263.25;29.3564;0.2228;2.1556;3.1018;93.6716;1.4069;0.168;0.142;465.180;0.264;0.283;-0.060;3;1.7150;0.5283;1;F-TIDAL BAR
F-4;3263.50;30.6538;0.2320;2.1509;3.1027;93.6307;1.3969;0.176;0.140;434.623;0.273;0.285;-0.053;3;1.8750;0.4955;1;F-TIDAL BAR
F-4;3263.75;32.5183;0.2237;2.1644;3.1072;93.0726;1.3904;0.185;0.143;311.594;0.267;0.277;-0.054;3;1.6314;0.3968;1;F-TIDAL BAR
F-4;3264.00;34.3828;0.2154;2.1780;3.1122;92.5145;1.3838;0.191;0.145;271.367;0.265;0.270;-0.054;3;1.3871;0.3568;1;F-TIDAL BAR
F-4;3264.25;34.3332;0.2163;2.2009;3.0674;90.5860;1.3810;0.188;0.153;209.797;0.250;0.257;-0.040;3;1.1014;0.3511;1;F-TIDAL BAR
F-4;3264.50;34.2835;0.2172;2.2238;2.7724;88.6574;1.3782;0.199;0.158;134.441;0.241;0.244;-0.026;3;0.8158;0.5661;1;F-TIDAL BAR
F-4;3264.75;35.5781;0.2201;2.2200;2.7658;88.3172;1.3785;0.200;0.159;131.263;0.241;0.246;-0.026;3;0.8530;0.5702;1;F-TIDAL BAR
F-4;3265.00;36.8727;0.2230;2.2162;2.6639;87.9769;1.3788;0.204;0.166;101.293;0.233;0.248;-0.025;3;0.8903;0.6429;1;F-TIDAL BAR
F-4;3265.25;37.0198;0.2223;2.1892;2.8329;89.6428;1.3733;0.218;0.159;104.452;0.254;0.263;-0.041;3;1.1801;0.4839;1;F-TIDAL BAR
F-4;3265.50;37.1670;0.2216;2.1621;2.8928;91.3087;1.3676;0.221;0.154;116.419;0.264;0.279;-0.057;3;1.4706;0.4316;1;F-TIDAL BAR
F-4;3265.75;36.9856;0.2180;2.1657;2.8912;92.1739;1.3591;0.215;0.156;130.128;0.262;0.277;-0.059;3;1.4715;0.4343;1;F-TIDAL BAR
F-4;3266.00;36.8043;0.2143;2.1693;2.8881;93.0391;1.3504;0.215;0.156;133.496;0.264;0.275;-0.060;3;1.4710;0.4308;1;F-TIDAL BAR
F-4;3266.25;35.6821;0.2145;2.1770;2.8951;92.2310;1.3474;0.214;0.159;132.199;0.261;0.270;-0.056;3;1.3577;0.4204;1;F-TIDAL BAR
F-4;3266.50;34.5600;0.2147;2.1846;2.9448;91.4229;1.3445;0.205;0.161;152.764;0.256;0.266;-0.051;3;1.2450;0.3865;1;F-TIDAL BAR
